Team,Single,Double,Triple
Rockies,1.10,1.15,2.11
Diamondbacks,1.01,1.22,1.67
Rangers,1.07,1.07,1.10
Red Sox,1.08,1.23,1.11
Indians,1.06,1.19,0.56
Orioles,1.03,0.91,0.62
Twins,1.05,1.04,1.00
Tigers,1.02,1.00,1.74
Reds,0.96,0.98,0.71
Nationals,1.04,1.01,0.68
Yankees,0.95,0.89,0.61
Royals,1.03,1.15,1.34
Blue Jays,0.94,1.15,0.84
Brewers,0.94,1.04,1.07
Phillies,0.98,0.90,0.86
White Sox,0.94,0.90,0.87
Cubs,0.95,0.94,1.22
Pirates,1.04,0.96,1.00
Cardinals,1.05,0.97,0.86
A's,0.99,1.03,1.32
Padres,0.99,0.97,1.01
Dodgers,0.97,0.98,0.51
Giants,1.03,0.98,1.53
Mariners,0.97,0.90,0.69
Angels,0.97,0.89,0.64
Marlins,1.00,0.91,1.06
Astros,0.93,0.95,1.09
Rays,0.97,0.86,0.89
Mets,0.93,0.88,0.59
Braves,1.05,1.07,0.72
