Angle,Brewers,Astros,Nationals,As,Orioles,Padres,Pirates,Indians,BlueJays,Mariners,Braves,Twins,Rays,Cubs,Yankees,Giants,Angels,Cardinals,Diamondbacks,Mets,Phillies ,Tigers,Rockies,Dodgers,RedSox,Rangers,Reds,WhiteSox,Royals,Marlins
-45,344,315,336,330,333,336,325,325,328,331,336,339,315,355,318,339,330,336,330,335,329,345,347,330,310,332,328,330,330,344
-44,347.2,315.6,338.2,332.8,336,337.8,330,327.4,329.4,332.2,339,339.8,321,355,322.8,340.6,335.8,339,336.4,337.2,330.4,345,348,335.8,310,336.8,330.8,331.4,336,345.6
-43,350.4,316.2,340.4,335.6,339,339.6,335,329.8,330.8,333.4,342,340.6,327,355,327.6,342.2,341.6,342,342.8,339.4,331.8,345,349,341.6,310,341.6,333.6,332.8,342,347.2
-42,353.6,316.8,342.6,338.4,342,341.4,340,332.2,332.2,334.6,345,341.4,333,355,332.4,343.8,347.4,345,349.2,341.6,333.2,345,350,347.4,310,346.4,336.4,334.2,348,348.8
-41,356.8,317.4,344.8,341.2,345,343.2,345,334.6,333.6,335.8,348,342.2,339,355,337.2,345.4,353.2,348,355.6,343.8,334.6,345,351,353.2,310,351.2,339.2,335.6,354,350.4
-40,360,318,347,344,348,345,350,337,335,337,351,343,345,355,342,347,359,351,362,346,336,345,352,359,310,356,342,337,360,352
-39,360.6,318.8,349.4,347.4,349.8,345.6,354.4,339.6,337,338.2,354.4,344,346,355,344.8,348.4,360,352,361.4,347.4,336.8,346.2,353,361.8,311,357.2,342.2,339,362,353.4
-38,361.2,319.6,351.8,350.8,351.6,346.2,358.8,342.2,339,339.4,357.8,345,347,355,347.6,349.8,361,353,360.8,348.8,337.6,347.4,354,364.6,312,358.4,342.4,341,364,354.8
-37,361.8,320.4,354.2,354.2,353.4,346.8,363.2,344.8,341,340.6,361.2,346,348,355,350.4,351.2,362,354,360.2,350.2,338.4,348.6,355,367.4,313,359.6,342.6,343,366,356.2
-36,362.4,321.2,356.6,357.6,355.2,347.4,367.6,347.4,343,341.8,364.6,347,349,355,353.2,352.6,363,355,359.6,351.6,339.2,349.8,356,370.2,314,360.8,342.8,345,368,357.6
-35,363,322,359,361,357,348,372,350,345,343,368,348,350,355,356,354,364,356,359,353,340,351,357,373,315,362,343,347,370,359
-34,364.6,323.2,361.2,361.8,357.2,349.4,373,351.6,347.8,344.4,370.6,349.6,351.6,355.6,357.2,354.8,365.8,357,360,353.4,341.2,353.8,358.8,373,316,363.2,344.6,348.2,370.8,360.6
-33,366.2,324.4,363.4,362.6,357.4,350.8,374,353.2,350.6,345.8,373.2,351.2,353.2,356.2,358.4,355.6,367.6,358,361,353.8,342.4,356.6,360.6,373,317,364.4,346.2,349.4,371.6,362.2
-32,367.8,325.6,365.6,363.4,357.6,352.2,375,354.8,353.4,347.2,375.8,352.8,354.8,356.8,359.6,356.4,369.4,359,362,354.2,343.6,359.4,362.4,373,318,365.6,347.8,350.6,372.4,363.8
-31,369.4,326.8,367.8,364.2,357.8,353.6,376,356.4,356.2,348.6,378.4,354.4,356.4,357.4,360.8,357.2,371.2,360,363,354.6,344.8,362.2,364.2,373,319,366.8,349.4,351.8,373.2,365.4
-30,371,328,370,365,358,355,377,358,359,350,381,356,358,358,362,358,373,361,364,355,346,365,366,373,320,368,351,353,374,367
-29,371,329,370.6,364.6,358.6,357,378.6,358.6,362,352.4,381.8,358.8,359.6,357,364,359,375.4,362.8,365.6,355.6,347.8,368.2,368.8,373.6,321.8,369.6,352.8,354.6,375.8,368.8
