Angle,Brewers,Astros,Nationals,As,Orioles,Padres,Pirates,Indians,BlueJays,Mariners,Braves,Twins,Rays,Cubs,Yankees,Giants,Angels,Cardinals,Diamondbacks,Mets,Phillies ,Tigers,Rockies,Dodgers,RedSox,Rangers,Reds,WhiteSox,Royals,Marlins
-45,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-44,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-43,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-42,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-41,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-40,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-39,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-38,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-37,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-36,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-35,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-34,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-33,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-32,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
