PitchHand,RealHand,pitch_type,averagehitspeed
L,L,CH,83.40363289
R,L,CH,84.2414346
L,R,CH,84.47326844
R,R,CH,85.79777054
L,L,CU,83.92232216
R,L,CU,85.2005994
L,R,CU,85.75851198
R,R,CU,84.40684494
R,L,EP,82.32142857
R,R,EP,81.09259259
L,L,FC,83.97663185
R,L,FC,84.31612522
L,R,FC,86.38703254
R,R,FC,85.74262062
L,L,FF,87.93886926
R,L,FF,86.97735643
L,R,FF,87.41989493
R,R,FF,89.13006369
R,L,FO,87.04888889
R,R,FO,91.7
L,L,FS,84.27058824
R,L,FS,85.10824499
L,R,FS,84.64661017
R,R,FS,85.82831541
L,L,FT,84.18272808
R,L,FT,88.46819542
L,R,FT,88.27533682
R,R,FT,86.89127549
L,L,KC,84.84486301
R,L,KC,85.85707028
L,R,KC,86.51370328
R,R,KC,86.87572674
R,L,KN,84.04984127
R,R,KN,86.81655844
L,L,null,87.46666667
R,L,null,84.16
L,R,null,90.3
R,R,null,90.12
L,L,SC,100.8
L,R,SC,89.40588235
L,L,SI,83.86245487
R,L,SI,87.35364031
L,R,SI,88.32395543
R,R,SI,87.20451573
L,L,SL,82.92838164
R,L,SL,85.48161889
L,R,SL,86.50725543
R,R,SL,84.81214718
R,L,UN,87.36666667
R,R,UN,82.9
