RealHand,PitchHand,pitch_type,averagelaunchangle
L,L,CH,8.74722881
R,L,CH,8.490070275
L,R,CH,7.70079164
R,R,CH,10.35811692
L,L,CU,9.985193691
R,L,CU,6.30936994
L,R,CU,9.194245887
R,R,CU,10.81442109
L,R,EP,7.223571429
R,R,EP,13.63888889
L,L,FC,11.10578618
R,L,FC,12.17609687
L,R,FC,10.87734331
R,R,FC,11.42874896
L,L,FF,12.777507
R,L,FF,16.24786247
L,R,FF,15.69369683
R,R,FF,16.0717645
L,R,FO,6.435111111
R,R,FO,7.439888889
L,L,FS,8.187435294
R,L,FS,5.458116992
L,R,FS,5.33084447
R,R,FS,10.32479526
L,L,FT,1.221201597
R,L,FT,6.091223329
L,R,FT,8.459258416
R,R,FT,3.630098613
L,L,KC,6.140959596
R,L,KC,5.723146
L,R,KC,3.644004695
R,R,KC,6.787996459
L,R,KN,8.74927619
R,R,KN,6.52711039
L,L,null,27.86
R,L,null,0.4495
L,R,null,-0.974625
R,R,null,10.98316667
L,L,SC,1.3505
R,L,SC,16.16176471
L,L,SI,-0.746687208
R,L,SI,6.442344517
L,R,SI,5.800833802
R,R,SI,2.514074605
L,L,SL,11.43998577
R,L,SL,12.47760352
L,R,SL,12.67934906
R,R,SL,11.12701002
L,R,UN,-5.363666667
R,R,UN,-20.699
