"","Pitcher","FF","SL","CU","CH","FT","SI","FS","KC","IN","PO","UN","EP","SC","FC"
"1","A.J. Cole",0.264940239043825,0.428286852589641,0.207171314741036,0.0179282868525896,0.0796812749003984,0,0,0,0,0,0,0,0,0
"2","A.J. Minter",0.438291139240506,0.00158227848101266,0,0.00949367088607595,0.0901898734177215,0,0,0,0,0,0,0,0,0.458860759493671
"3","A.J. Ramos",0.308139534883721,0.174418604651163,0.0930232558139535,0.0988372093023256,0.122093023255814,0,0,0,0,0,0,0,0,0.203488372093023
"4","Aaron Bummer",0.137931034482759,0.247126436781609,0,0.0689655172413793,0.0804597701149425,0.46551724137931,0,0,0,0,0,0,0,0
"5","Aaron Loup",0,0,0.0690265486725664,0.0884955752212389,0.456637168141593,0.207079646017699,0,0,0,0,0,0,0,0.178761061946903
"6","Aaron Nola",0.371562013492475,0,0.276595744680851,0.215879605604567,0.135962636222107,0,0,0,0,0,0,0,0,0
"7","Aaron Sanchez",0.310507674144038,0,0.089728453364817,0.260920897284534,0.338842975206612,0,0,0,0,0,0,0,0,0
"8","Aaron Slegers",0.397959183673469,0.183673469387755,0,0.11734693877551,0.086734693877551,0.214285714285714,0,0,0,0,0,0,0,0
"9","Aaron Wilkerson",0.539325842696629,0.219101123595506,0.129213483146067,0.112359550561798,0,0,0,0,0,0,0,0,0,0
"10","Adalberto Mejia",0.450980392156863,0.218487394957983,0.0168067226890756,0.173669467787115,0.140056022408964,0,0,0,0,0,0,0,0,0
"11","Adam Cimber",0.26890756302521,0.222689075630252,0,0,0.165966386554622,0.289915966386555,0,0,0,0,0,0,0,0.0483193277310924
"12","Adam Conley",0.57379767827529,0.149253731343284,0,0.276948590381426,0,0,0,0,0,0,0,0,0,0
"13","Adam Kolarek",0.152542372881356,0.0983050847457627,0.0508474576271186,0.250847457627119,0,0.447457627118644,0,0,0,0,0,0,0,0
"14","Adam Liberatore",0.623376623376623,0.0974025974025974,0,0.279220779220779,0,0,0,0,0,0,0,0,0,0
"15","Adam McCreery",0.433333333333333,0.0333333333333333,0.533333333333333,0,0,0,0,0,0,0,0,0,0,0
"16","Adam Morgan",0.202061855670103,0.424742268041237,0.0701030927835052,0.17319587628866,0.121649484536082,0,0.00824742268041237,0,0,0,0,0,0,0
"17","Adam Ottavino",0.044414535666218,0.441453566621804,0,0,0.411843876177658,0,0,0,0,0,0,0,0,0.100942126514132
"18","Adam Plutko",0.609124537607892,0.207151664611591,0.101109741060419,0.0813810110974106,0,0,0,0,0,0,0,0,0,0
"19","Adam Ravenelle",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"20","Adam Warren",0.412068965517241,0.462068965517241,0.0482758620689655,0.0775862068965517,0,0,0,0,0,0,0,0,0,0
"21","Addison Reed",0.70926517571885,0.284345047923323,0,0.00479233226837061,0,0,0,0,0,0,0,0,0,0
"22","Adrian Houser",0.557471264367816,0,0.224137931034483,0.155172413793103,0.0632183908045977,0,0,0,0,0,0,0,0,0
"23","Akeel Morris",0.529953917050691,0.110599078341014,0,0.359447004608295,0,0,0,0,0,0,0,0,0,0
"24","Alan Busenitz",0.667701863354037,0,0.295031055900621,0.0124223602484472,0.0248447204968944,0,0,0,0,0,0,0,0,0
"25","Alec Asher",0.3,0,0.4,0.1,0.2,0,0,0,0,0,0,0,0,0
"26","Alec Mills",0.372549019607843,0.166666666666667,0.0882352941176471,0.137254901960784,0.235294117647059,0,0,0,0,0,0,0,0,0
"27","Alex Avila",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"28","Alex Blandino",0.266666666666667,0.0666666666666667,0.4,0.2,0.0666666666666667,0,0,0,0,0,0,0,0,0
"29","Alex Claudio",0,0.0856741573033708,0,0.387640449438202,0.0941011235955056,0.431179775280899,0,0,0,0,0,0,0,0
"30","Alex Cobb",0.516146109052409,0,0,0,0,0,0.267866596082583,0.215987294865008,0,0,0,0,0,0
"31","Alex Colome",0.488830486202365,0,0,0.0210249671484888,0.00394218134034166,0,0,0,0,0,0,0,0,0.486202365308804
"32","Alex Reyes",0.561643835616438,0.246575342465753,0.10958904109589,0.0821917808219178,0,0,0,0,0,0,0,0,0,0
"33","Alex Verdugo",0.826086956521739,0,0,0.0217391304347826,0.152173913043478,0,0,0,0,0,0,0,0,0
"34","Alex Wilson",0.186594202898551,0.51268115942029,0.0253623188405797,0.0126811594202899,0.26268115942029,0,0,0,0,0,0,0,0,0
"35","Alex Wood",0,0,0,0.254914809960681,0.458715596330275,0,0,0.286369593709043,0,0,0,0,0,0
"36","Alexi Ogando",0.555555555555556,0.361111111111111,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0
"37","Amir Garrett",0.675753228120517,0.286944045911047,0,0.0200860832137733,0.0172166427546628,0,0,0,0,0,0,0,0,0
"38","Andrew Cashner",0.256060606060606,0.115151515151515,0.124747474747475,0.138888888888889,0.365151515151515,0,0,0,0,0,0,0,0,0
"39","Andrew Chafin",0.259597806215722,0.404021937842779,0,0.00731261425959781,0.109689213893967,0.219378427787934,0,0,0,0,0,0,0,0
"40","Andrew Heaney",0,0,0.254860746190226,0.167630057803468,0.131897004729375,0.445086705202312,0,0,0,0,0,0,0,0
"41","Andrew Kittredge",0.452586206896552,0.521551724137931,0,0.0129310344827586,0,0,0,0,0,0,0,0,0,0
"42","Andrew Miller",0.524752475247525,0.47029702970297,0,0,0.00495049504950495,0,0,0,0,0,0,0,0,0
"43","Andrew Romine",0.5,0.0625,0,0.421875,0.015625,0,0,0,0,0,0,0,0,0
"44","Andrew Suarez",0.503759398496241,0.25187969924812,0.133727175080559,0.0993555316863588,0.0102040816326531,0,0,0,0,0,0,0,0,0
"45","Andrew Triggs",0.0719178082191781,0.157534246575342,0.136986301369863,0.14041095890411,0.493150684931507,0,0,0,0,0,0,0,0,0
"46","Anibal Sanchez",0.322846441947566,0.0569288389513109,0.09812734082397,0.048689138576779,0.0404494382022472,0.050936329588015,0.18501872659176,0,0,0,0,0,0,0.194756554307116
"47","Anthony Banda",0.784615384615385,0,0.0153846153846154,0.2,0,0,0,0,0,0,0,0,0,0
"48","Anthony Bass",0.260089686098655,0.291479820627803,0,0,0.42152466367713,0,0.0269058295964126,0,0,0,0,0,0,0
"49","Anthony DeSclafani",0.355500821018062,0.32512315270936,0,0.0361247947454844,0.233169129720854,0,0,0.0476190476190476,0,0,0,0,0,0
"50","Anthony Rizzo",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"51","Anthony Swarzak",0.517684887459807,0.47588424437299,0,0,0.00643086816720257,0,0,0,0,0,0,0,0,0
"52","Antonio Senzatela",0.708,0.165333333333333,0.0466666666666667,0.08,0,0,0,0,0,0,0,0,0,0
"53","Archie Bradley",0.68798955613577,0.00522193211488251,0,0,0.14621409921671,0,0,0.157963446475196,0,0,0,0,0,0
"54","Ariel Jurado",0.0701402805611222,0.102204408817635,0.0821643286573146,0.0701402805611222,0.675350701402806,0,0,0,0,0,0,0,0,0
"55","Arodys Vizcaino",0.152027027027027,0.239864864864865,0,0.0168918918918919,0.591216216216216,0,0,0,0,0,0,0,0,0
"56","Aroldis Chapman",0.773399014778325,0.215106732348112,0,0.0114942528735632,0,0,0,0,0,0,0,0,0,0
"57","Artie Lewicki",0.575456053067993,0.203980099502488,0.154228855721393,0.0630182421227197,0,0,0,0.00165837479270315,0,0.00165837479270315,0,0,0,0
"58","Austin Adams",0.928571428571429,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0
"59","Austin Bibens-Dirkx",0.341292134831461,0.212078651685393,0.137640449438202,0.185393258426966,0.123595505617978,0,0,0,0,0,0,0,0,0
"60","Austin Brice",0.178451178451178,0.121212121212121,0.175084175084175,0.0269360269360269,0.235690235690236,0.262626262626263,0,0,0,0,0,0,0,0
"61","Austin Gomber",0.529722589167767,0.133421400264201,0,0.0964332892998679,0,0,0,0.240422721268164,0,0,0,0,0,0
"62","Austin Pruitt",0.395669291338583,0.27755905511811,0.240157480314961,0.078740157480315,0.0078740157480315,0,0,0,0,0,0,0,0,0
"63","Austin Voth",0.636363636363636,0.282828282828283,0.0505050505050505,0.0303030303030303,0,0,0,0,0,0,0,0,0,0
"64","Bartolo Colon",0.158995815899582,0.0621637776449492,0,0.117752540346683,0.637178720860729,0,0,0,0,0,0,0,0,0.0239091452480574
"65","Ben Lively",0.826086956521739,0,0,0.0217391304347826,0.152173913043478,0,0,0,0,0,0,0,0,0
"66","Ben Taylor",0.641304347826087,0.16304347826087,0,0.119565217391304,0.0760869565217391,0,0,0,0,0,0,0,0,0
"67","Blaine Boyer",0.330739299610895,0.319066147859922,0.116731517509728,0,0.233463035019455,0,0,0,0,0,0,0,0,0
"68","Blaine Hardy",0.306629834254144,0,0.0883977900552486,0.232965009208103,0,0,0,0,0,0,0,0,0,0.372007366482505
"69","Blake Parker",0.57742782152231,0,0.0984251968503937,0,0,0,0.324146981627297,0,0,0,0,0,0,0
"70","Blake Snell",0.559371362048894,0.0878928987194412,0.169965075669383,0.182770663562282,0,0,0,0,0,0,0,0,0,0
"71","Blake Treinen",0.182825484764543,0.227146814404432,0,0,0.141274238227147,0.393351800554017,0,0,0,0,0,0,0,0.0554016620498615
