Team,BattingNumber,Player,Hand
Angels,1,Martin Maldonado,R
Angels,2,C.J. Cron,L
Angels,3,Danny Espinosa,S
Angels,4,Andrelton Simmons,R
Angels,5,Yunel Escobar,R
Angels,6,Ben Revere,L
Angels,7,Mike Trout,R
Angels,8,Kole Calhoun,L
Angels,9,Albert Pujols,R
Angels,10,Luis Valbuena,L
Angels,11,Cameron Maybin,R
Angels,12,Cliff Pennington,S
Angels,13,Jefry Marte,R
Angels,14,Justin Upton,R
Angels,15,LowRep,S
Angels,16,MidRepR,R
Angels,17,MidRepL,L
Angels,18,PitcherA,S
As,1,Khris Davis,R
As,2,Jed Lowrie,S
As,3,Ryon Healy,R
As,4,Matt Joyce,L
As,5,Marcus Semien,R
As,6,Yonder Alonso,L
As,7,Rajai Davis,R
As,8,Matt Chapman,R
As,9,Chad Pinder,R
As,10,Bruce Maxwell,L
As,11,Adam Rosales,R
As,12,Matt Olsen,L
As,13,Trevor Plouffe,R
As,14,Mark Canha,R
As,15,Stephen Vogt,L
As,16,LowRep2,S
As,17,MidRepR2,R
As,18,MidRepL2,L
As,19,PitcherB,S
Astros,1,Jose Altuve,R
Astros,2,George Springer,R
Astros,3,Alex Bregman,R
Astros,4,Yuli Gurriel,R
Astros,5,Josh Reddick,L
Astros,6,Marwin Gonzalez,S
Astros,7,Carlos Beltran,S
Astros,8,Carlos Correa,R
Astros,9,Brian McCann,L
Astros,10,Evan Gattis,R
Astros,11,Jake Marisnick,R
Astros,12,Nori Aoki,L
Astros,13,Derek Fisher,L
Astros,14,J.D. Davis,R
Astros,15,Cameron Maybin,R
Astros,16,LowRep2,S
Astros,17,MidRepR2,R
Astros,18,MidRepL2,L
Astros,19,PitcherB,S
BlueJays,1,Jose Bautista,R
BlueJays,2,Justin Smoak,S
BlueJays,3,Kevin Pillar,R
BlueJays,4,Kendrys Morales,S
BlueJays,5,Josh Donaldson,R
BlueJays,6,Ryan Goins,L
BlueJays,7,Russell Martin,R
BlueJays,8,Darwin Barney,R
BlueJays,9,Steave Pearce,R
BlueJays,10,Ezequiel Carrera,L
BlueJays,11,Troy Tulowizki,R
BlueJays,12,Devon Travis,R
BlueJays,13,Luke Maile,R
BlueJays,14,Teoscar Hernandez,R
BlueJays,15,LowRep,S
BlueJays,16,MidRepR,R
BlueJays,17,MidRepL,L
BlueJays,18,PitcherA,S
Braves,1,Ender Inciarte,L
Braves,2,Nick Markakis,L
Braves,3,Dansby Swanson,R
Braves,4,Freddie Freeman,L
Braves,5,Brandon Phillips,R
Braves,6,Matt Kemp,R
Braves,7,Tyler Flowers,R
Braves,8,Matt Adams,L
Braves,9,Kurt Suzuki,E
Braves,10,John Camargo,S
Braves,11,Ozzie Albies,S
Braves,12,Jace Peterson,L
Braves,13,Adonis Garcia,R
Braves,14,LowRep2,S
Braves,15,MidRepR2,R
Braves,16,MidRepL2,L
Braves,17,PitcherB,S
Brewers,1,Domingo Santana,R
Brewers,2,Travis Shaw,L
Brewers,3,Eric Thames,L
Brewers,4,Orlando Arcia,R
Brewers,5,Keon Broxton,R
Brewers,6,Hernan Perez,R
Brewers,7,Jonathan Villar,S
Brewers,8,Ryan Braun,R
Brewers,9,Manyy Pina,R
Brewers,10,Jesus Aguilar,R
Brewers,11,Eric Sogard,L
Brewers,12,Jett Bandy,R
Brewers,13,Neil Walker,S
Brewers,14,LowRep,S
Brewers,15,MidRepR,R
Brewers,16,MidRepL,L
Brewers,17,PitcherA,S
Cardinals,1,Matt Carpenter,L
Cardinals,2,Yadier Molina,R
Cardinals,3,Tommy Pham,R
Cardinals,4,Dexter Fowler,S
Cardinals,5,Jedd Gyorko,R
Cardinals,6,Paul DeJong,R
Cardinals,7,Randal Grichuk,R
Cardinals,8,Kolten Wong,S
Cardinals,9,Stephen Piscotty,R
Cardinals,10,Jose Martinez,R
Cardinals,11,Aledmys Diaz,R
Cardinals,12,Greg Garcia,L
Cardinals,13,LowRep2,S
Cardinals,14,MidRepR2,R
Cardinals,15,MidRepL2,L
Cardinals,16,PitcherB,S
Cubs,1,Anthony Rizzo,L
Cubs,2,Kris Bryant,R
Cubs,3,Javier Baez,R
Cubs,4,Ben Zobrist,S
Cubs,5,Kyle Schwarber,L
Cubs,6,Jason Heyward,L
Cubs,7,Jon Jay,L
Cubs,8,Wilson Contreras,R
Cubs,9,Ian Happ,S
Cubs,10,Addison Russell,R
Cubs,11,Albert Almora,R
Cubs,12,Tommy La Stella,L
Cubs,13,Miguel Montero,L
Cubs,14,Alex Avila,L
Cubs,15,LowRep,S
Cubs,16,MidRepR,R
Cubs,17,MidRepL,L
Cubs,18,PitcherA,S
Diamondbacks,1,Paul Goldschmidt,R
Diamondbacks,2,Jake Lamb,L
Diamondbacks,3,David Peralta,L
Diamondbacks,4,Brandon Drury,R
Diamondbacks,5,AJ Pollock,R
Diamondbacks,6,Daniel Descalso,L
Diamondbacks,7,Chris Owings,R
Diamondbacks,8,Chris Iannetta,R
Diamondbacks,9,J.D. Martinez,R
Diamondbacks,10,Gregor Blanco,L
Diamondbacks,11,Chris Hermann,L
Diamondbacks,12,Ketel Marte,S
Diamondbacks,13,Jeff Mathis,R
Diamondbacks,14,Yasmany Tomas,R
Diamondbacks,15,Nick Ahmed,R
Diamondbacks,16,LowRep,S
Diamondbacks,17,MidRepR,R
Diamondbacks,18,MidRepL,L
Diamondbacks,19,PitcherA,S
Dodgers,1,Enrique Hernandez,R
Dodgers,2,Austin Barnes,R
Dodgers,3,Chris Taylor,R
Dodgers,4,Matt Kemp,R
Dodgers,5,Manny Machado,R
Dodgers,6,Kyle Farmer,R
Dodgers,7,Tim Locastro,R
Dodgers,8,Cody Bellinger,L
Dodgers,9,Justin Turner,R
Dodgers,10,Max Muncy,L
Dodgers,11,Yasmani Grandal,S
Dodgers,12,Yasiel Puig,R
Dodgers,13,Brian Dozier,R
Dodgers,14,Joc Pederson,L
Dodgers,15,Chase Utley,L
Dodgers,16,Logan Forsythe,R
Dodgers,17,Corey Seager,L
Dodgers,18,LowRep2,S
Dodgers,19,MidRepR2,R
