,Team,Pitcher,PitchHand,MaxPitch,PitcherNumber,Inning1,Inning2,Inning3,Inning4,Inning5,Inning6,Inning7,Inning8,Inning9,Inning10,MaxRuns
1,Tigers,Tarik Skubal,R,90,1,0,0,0,0,0,0,0,0,0,0,5
2,Brewers,Jhoulys Chacin,R,100,1,0,0,0,0,0,0,0,0,0,0,5
3,Cubs,Jose Quintana,L,95,1,0,0,0,0,0,0,0,0,0,0,5
4,Rays,Tyler Glasnow,R,95,1,0,0,0,0,0,0,0,0,0,0,5
5,BlueJays,Aaron Sanchez,R,100,1,0,0,0,0,0,0,0,0,0,0,5
6,Pirates,Jameson Taillon,R,95,1,0,0,0,0,0,0,0,0,0,0,5
7,Twins,Stephen Gonsalves,L,90,1,0,0,0,0,0,0,0,0,0,0,5
8,RedSox,Nathan Eovaldi,R,85,1,0,0,0,0,0,0,0,0,0,0,5
9,Angels,Kevin Gausman,R,100,1,0,0,0,0,0,0,0,0,0,0,5
10,Orioles,Andrew Cashner,R,105,1,0,0,0,0,0,0,0,0,0,0,5
11,Reds,Homer Bailey,R,95,1,0,0,0,0,0,0,0,0,0,0,5
12,Mariners,Mike Leake,R,95,1,0,0,0,0,0,0,0,0,0,0,5
13,Diamondbacks,Zack Greinke,R,100,1,0,0,0,0,0,0,0,0,0,0,5
14,Rockies,Antonio Senzatela,R,95,1,0,0,0,0,0,0,0,0,0,0,5
15,Mets,Zack Wheeler,R,110,1,0,0,0,0,0,0,0,0,0,0,5
16,Yankees,Sonny Gray,R,100,1,0,0,0,0,0,0,0,0,0,0,5
17,Nationals,Tanner Roark,R,95,1,0,0,0,0,0,0,0,0,0,0,5
18,Phillies,Nick Pivetta,R,95,1,0,0,0,0,0,0,0,0,0,0,5
19,Indians,Corey Kluber,R,95,1,0,0,0,0,0,0,0,0,0,0,5
20,Marlins,Dan Straily,R,100,1,0,0,0,0,0,0,0,0,0,0,5
21,Braves,Anibal Sanchez,R,100,1,0,0,0,0,0,0,0,0,0,0,5
22,Rangers,Luis Perdomo,R,100,1,0,0,0,0,0,0,0,0,0,0,5
23,WhiteSox,Michael Kopech,R,85,1,0,0,0,0,0,0,0,0,0,0,5
24,Astros,Framber Valdez,L,75,1,0,0,0,0,0,0,0,0,0,0,5
25,Royals,Brad Keller,R,95,1,0,0,0,0,0,0,0,0,0,0,5
26,Cardinals,Austin Gomber,L,85,1,0,0,0,0,0,0,0,0,0,0,5
27,As,Mike Fiers,R,100,1,0,0,0,0,0,0,0,0,0,0,5
28,Dodgers,Clayton Kershaw,L,100,1,0,0,0,0,0,0,0,0,0,0,5
29,Padres,Brett Kennedy,R,90,1,0,0,0,0,0,0,0,0,0,0,5
30,Giants,Andrew Suarez,L,100,1,0,0,0,0,0,0,0,0,0,0,5
291,Angels,Jose Alvarez,L,30,2,0.01,0.01,0.01,0.01,0.01,0.37,0.37,0.37,0.1,0.1,2
301,Angels,Keynan Middleton,R,30,3,0.01,0.01,0.01,0.01,0.01,0.3,0.3,0.3,0.01,0.01,2
31,Angels,Blake Parker,R,30,4,0.01,0.01,0.01,0.01,0.01,0.3,0.3,0.3,0.01,0.01,2
32,Angels,Yusmeiro Petit,R,30,5,0.95999,0.95999,0.95999,0.95999,0.95999,0.01999,0.01999,0.01999,0.01999,0.01999,2
33,Angels,Alex Meyer,R,100,6,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,10
34,Angels,Bud Norris,R,1000,7,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.86,0.86,50
