launch_angle,launch_speed,Angle,Single,Double,Triple,out
-25,20,2,0,0,0,1
-25,30,1,0,0,0,1
-25,30,3,0,0,0,1
-25,30,5,1,0,0,0
-25,35,1,0,0,0,1
-25,35,2,0.25,0,0,0.75
-25,35,3,0,0,0,1
-25,35,4,0.285714286,0,0,0.714285714
-25,35,5,0.6,0,0,0.4
-25,40,2,0.166666667,0,0,0.833333333
-25,40,3,0,0,0,1
-25,40,4,0.375,0,0,0.625
-25,40,5,0.125,0,0,0.875
-25,45,1,0,0,0,1
-25,45,2,0.25,0,0,0.75
-25,45,3,0.111111111,0,0,0.888888889
-25,45,4,0.166666667,0,0,0.833333333
-25,45,5,0.333333333,0,0,0.666666667
-25,50,1,0,0,0,1
-25,50,2,0.25,0,0,0.75
-25,50,3,0,0,0,1
-25,50,4,0.133333333,0.066666667,0,0.8
-25,50,5,0,0,0,1
-25,55,1,0,0,0,1
-25,55,2,0,0,0,1
-25,55,3,0.095238095,0,0,0.904761905
-25,55,4,0.130434783,0,0,0.869565217
-25,55,5,0.071428571,0,0,0.928571429
-25,60,1,0,0,0,1
-25,60,2,0.032258065,0,0,0.967741935
-25,60,3,0.052631579,0,0,0.947368421
-25,60,4,0.114285714,0,0,0.885714286
-25,60,5,0.035714286,0,0,0.964285714
-25,65,1,0.027027027,0,0,0.972972973
-25,65,2,0,0.018181818,0,0.981818182
-25,65,3,0.042553191,0,0,0.957446809
-25,65,4,0.084337349,0,0,0.915662651
-25,65,5,0,0,0,1
-25,70,1,0.02,0,0,0.98
-25,70,2,0.061728395,0.024691358,0,0.913580247
-25,70,3,0.050847458,0,0,0.949152542
-25,70,4,0.045977011,0.011494253,0,0.942528736
-25,70,5,0.016129032,0.032258065,0,0.951612903
-25,75,1,0.044444444,0,0,0.955555556
-25,75,2,0,0.012987013,0,0.987012987
-25,75,3,0.119047619,0,0,0.880952381
-25,75,4,0.075471698,0,0,0.924528302
-25,75,5,0.03125,0,0,0.96875
-25,80,1,0,0.064516129,0,0.935483871
-25,80,2,0.022988506,0,0,0.977011494
-25,80,3,0.053571429,0,0,0.946428571
-25,80,4,0.049295775,0,0,0.950704225
-25,80,5,0.052631579,0.035087719,0,0.912280702
-25,85,1,0.166666667,0,0,0.833333333
-25,85,2,0.064516129,0,0,0.935483871
-25,85,3,0.148148148,0,0,0.851851852
-25,85,4,0.092105263,0,0,0.907894737
-25,85,5,0.024390244,0,0,0.975609756
-25,90,1,0.083333333,0,0,0.916666667
